HOG	OG	Gene Tree Parent Clade	acastellanii_braker	bc2001_braker	bc2002_braker	dicty_braker	vvermcdc19_braker
N3.HOG0008005	OG0006749	n0		bc2001_g806.t1, bc2001_g17384.t1, bc2001_g7232.t1	bc2002_g11317.t1		
N3.HOG0008006	OG0006750	n1		bc2001_g2004.t1	bc2002_g7444.t1		
N3.HOG0008007	OG0006750	n2		bc2001_g807.t1	bc2002_g11316.t1		
N3.HOG0008008	OG0006751	n1		bc2001_g814.t1	bc2002_g11309.t1		
N3.HOG0008009	OG0006751	n2		bc2001_g1998.t1	bc2002_g7437.t1		
N3.HOG0008010	OG0006752	n0		bc2001_g819.t1, bc2001_g15567.t1	bc2002_g11303.t1, bc2002_g5027.t1		
N3.HOG0008011	OG0006753	n1		bc2001_g18753.t1	bc2002_g22.t1		
N3.HOG0008012	OG0006753	n2		bc2001_g840.t2	bc2002_g11283.t1		
N3.HOG0008013	OG0006754	n1		bc2001_g14619.t1	bc2002_g12944.t1		
N3.HOG0008014	OG0006754	n2		bc2001_g849.t1	bc2002_g11274.t1		
N3.HOG0008015	OG0006755	n0		bc2001_g868.t1, bc2001_g868.t2	bc2002_g11254.t1		
N3.HOG0008016	OG0006756	n0		bc2001_g875.t2, bc2001_g875.t1	bc2002_g11246.t1		
N3.HOG0008017	OG0006757	n1		bc2001_g11728.t1	bc2002_g12352.t1		
N3.HOG0008018	OG0006757	n2		bc2001_g880.t1	bc2002_g11241.t1		
N3.HOG0008019	OG0006758	n1		bc2001_g895.t2	bc2002_g11227.t2		
N3.HOG0008020	OG0006758	n2		bc2001_g895.t1	bc2002_g11227.t1		
N3.HOG0008021	OG0006759	n1		bc2001_g13556.t1	bc2002_g9229.t1		
N3.HOG0008022	OG0006759	n2		bc2001_g903.t1	bc2002_g11219.t1		
N3.HOG0008023	OG0006760	n0		bc2001_g928.t1, bc2001_g12852.t1	bc2002_g2936.t1, bc2002_g11192.t1		
N3.HOG0008024	OG0006761	n1		bc2001_g933.t1	bc2002_g11187.t1		
N3.HOG0008025	OG0006761	n2		bc2001_g6136.t1	bc2002_g12878.t1		
N3.HOG0008026	OG0006762	n1		bc2001_g2761.t1	bc2002_g4442.t1		
N3.HOG0008027	OG0006762	n2		bc2001_g935.t1	bc2002_g11185.t1		
N3.HOG0008028	OG0006763	n1		bc2001_g2124.t1	bc2002_g11372.t1		
N3.HOG0008029	OG0006763	n2		bc2001_g967.t1	bc2002_g11154.t1		
N3.HOG0008030	OG0006764	n1		bc2001_g13831.t1	bc2002_g14572.t1		
N3.HOG0008031	OG0006764	n2		bc2001_g975.t1	bc2002_g11142.t1		
N3.HOG0008032	OG0006765	n0		bc2001_g992.t1, bc2001_g11261.t1, bc2001_g9028.t1	bc2002_g11123.t1		
N3.HOG0008033	OG0006766	n1		bc2001_g997.t1	bc2002_g11118.t1		
N3.HOG0008034	OG0006766	n2		bc2001_g997.t2	bc2002_g11118.t2		
N3.HOG0008035	OG0006767	n0		bc2001_g999.t1	bc2002_g11116.t1		
N3.HOG0008036	OG0006768	n0		bc2001_g1004.t1	bc2002_g11110.t1		
N3.HOG0008037	OG0006769	n0		bc2001_g1008.t1	bc2002_g11107.t1		
N3.HOG0008038	OG0006770	n0		bc2001_g1056.t1	bc2002_g4273.t1		
N3.HOG0008039	OG0006771	n0		bc2001_g1058.t1	bc2002_g4271.t2, bc2002_g4271.t1		
N3.HOG0008040	OG0006772	n0		bc2001_g1066.t3	bc2002_g4264.t2		
N3.HOG0008041	OG0006773	n0		bc2001_g1093.t2, bc2001_g1093.t1	bc2002_g4236.t1		
N3.HOG0008042	OG0006774	n0		bc2001_g1106.t1, bc2001_g1106.t2	bc2002_g4222.t1		
N3.HOG0008043	OG0006775	n0		bc2001_g19259.t1, bc2001_g1122.t1, bc2001_g10261.t1	bc2002_g1189.t1		
N3.HOG0008044	OG0006776	n0		bc2001_g1130.t1	bc2002_g4194.t1		
N3.HOG0008045	OG0006777	n0		bc2001_g1137.t1	bc2002_g4186.t1		
N3.HOG0008046	OG0006778	n0		bc2001_g1155.t1	bc2002_g4164.t1		
N3.HOG0008047	OG0006779	n0		bc2001_g1171.t1	bc2002_g4147.t1		
N3.HOG0008048	OG0006780	n0		bc2001_g1176.t2, bc2001_g1176.t1, bc2001_g1176.t3	bc2002_g4141.t1		
N3.HOG0008049	OG0006781	n0		bc2001_g4363.t1, bc2001_g14972.t1, bc2001_g1179.t1	bc2002_g18319.t1		
N3.HOG0008050	OG0006782	n0		bc2001_g1186.t1, bc2001_g3468.t1, bc2001_g11001.t1	bc2002_g5276.t1		
N3.HOG0008051	OG0006783	n0		bc2001_g1192.t1, bc2001_g1192.t2			
N3.HOG0008052	OG0006784	n0		bc2001_g1196.t1, bc2001_g5821.t1, bc2001_g4075.t1	bc2002_g995.t1		
N3.HOG0008053	OG0006785	n0		bc2001_g1197.t1, bc2001_g14813.t2, bc2001_g18594.t1	bc2002_g5517.t1		
N3.HOG0008054	OG0006786	n0		bc2001_g1201.t1, bc2001_g1201.t2			
N3.HOG0008055	OG0006787	n0		bc2001_g16456.t1, bc2001_g10811.t1, bc2001_g1204.t1	bc2002_g3600.t1		
N3.HOG0008056	OG0006788	n1		bc2001_g9756.t1	bc2002_g5974.t1		
N3.HOG0008057	OG0006788	n2		bc2001_g1215.t1	bc2002_g13836.t1		
N3.HOG0008058	OG0006789	n0		bc2001_g9757.t1, bc2001_g7304.t1, bc2001_g1216.t1	bc2002_g5973.t1		
N3.HOG0008059	OG0006790	n0		bc2001_g1227.t1	bc2002_g13823.t1		
N3.HOG0008060	OG0006791	n0		bc2001_g1239.t2, bc2001_g1239.t1	bc2002_g13812.t1		
N3.HOG0008061	OG0006792	n0		bc2001_g1255.t1	bc2002_g13799.t1		
N3.HOG0008062	OG0006793	n0		bc2001_g1256.t1	bc2002_g13798.t1		
N3.HOG0008063	OG0006794	n1		bc2001_g1262.t2	bc2002_g13792.t2		
N3.HOG0008064	OG0006794	n2		bc2001_g1262.t1	bc2002_g13792.t1		
N3.HOG0008065	OG0006795	n0		bc2001_g1265.t1	bc2002_g13789.t1		
N3.HOG0008066	OG0006796	n0		bc2001_g1270.t1	bc2002_g13784.t1		
N3.HOG0008067	OG0006797	n0		bc2001_g1272.t1	bc2002_g13782.t1		
N3.HOG0008068	OG0006798	n0		bc2001_g1275.t1	bc2002_g13778.t1		
N3.HOG0008069	OG0006799	n1		bc2001_g1279.t1	bc2002_g13774.t1		
N3.HOG0008070	OG0006799	n2		bc2001_g10020.t1	bc2002_g17022.t1		
N3.HOG0008071	OG0006800	n0		bc2001_g16122.t1, bc2001_g1289.t1, bc2001_g3157.t1, bc2001_g14614.t1			
N3.HOG0008072	OG0006801	n1		bc2001_g1295.t1	bc2002_g18711.t1		
N3.HOG0008073	OG0006801	n2		bc2001_g10033.t1	bc2002_g17007.t1		
N3.HOG0008074	OG0006802	n0		bc2001_g13390.t1, bc2001_g1307.t1, bc2001_g10706.t1	bc2002_g19149.t1		
N3.HOG0008075	OG0006803	n1		bc2001_g3123.t1	bc2002_g5907.t1		
N3.HOG0008076	OG0006803	n2		bc2001_g1313.t1	bc2002_g13749.t1		
N3.HOG0008077	OG0006804	n0		bc2001_g4017.t1, bc2001_g15329.t1, bc2001_g1314.t1	bc2002_g1363.t1		
N3.HOG0008078	OG0006805	n1		bc2001_g1317.t1	bc2002_g5842.t1		
N3.HOG0008079	OG0006805	n2		bc2001_g7214.t1	bc2002_g4942.t1		
N3.HOG0008080	OG0006806	n1		bc2001_g15207.t1	bc2002_g8327.t1		
N3.HOG0008081	OG0006806	n2		bc2001_g1319.t1	bc2002_g7182.t1		
N3.HOG0008082	OG0006807	n0		bc2001_g1322.t1, bc2001_g13446.t1	bc2002_g9119.t1, bc2002_g18832.t1		
N3.HOG0008083	OG0006808	n0		bc2001_g8820.t1, bc2001_g13892.t3, bc2001_g1329.t1	bc2002_g17382.t1		
N3.HOG0008084	OG0006809	n0		bc2001_g1404.t1	bc2002_g18688.t1		
N3.HOG0008085	OG0006810	n0		bc2001_g1411.t1	bc2002_g18681.t1		
N3.HOG0008086	OG0006811	n0		bc2001_g1413.t1	bc2002_g18679.t1		
N3.HOG0008087	OG0006812	n0		bc2001_g1423.t1	bc2002_g18669.t1		
N3.HOG0008088	OG0006813	n1		bc2001_g4748.t1	bc2002_g5481.t1		
N3.HOG0008089	OG0006813	n2		bc2001_g1434.t1	bc2002_g18658.t1		
N3.HOG0008090	OG0006814	n1		bc2001_g1442.t1	bc2002_g18652.t1		
N3.HOG0008091	OG0006814	n2		bc2001_g1442.t2	bc2002_g18652.t2		
N3.HOG0008092	OG0006815	n1		bc2001_g1447.t1	bc2002_g18648.t1		
N3.HOG0008093	OG0006815	n2		bc2001_g9203.t1	bc2002_g18395.t1		
N3.HOG0008094	OG0006816	n0		bc2001_g2594.t1, bc2001_g15571.t1, bc2001_g1492.t1	bc2002_g14879.t1		
N3.HOG0008095	OG0006817	n0		bc2001_g14462.t1, bc2001_g1495.t1, bc2001_g3142.t1	bc2002_g16244.t1		
N3.HOG0008096	OG0006818	n1		bc2001_g6337.t1	bc2002_g3576.t1		
N3.HOG0008097	OG0006818	n2		bc2001_g1505.t1	bc2002_g3615.t1		
N3.HOG0008098	OG0006819	n0		bc2001_g1518.t1, bc2001_g13709.t1, bc2001_g12956.t1	bc2002_g7696.t1		
N3.HOG0008099	OG0006820	n0		bc2001_g4736.t1, bc2001_g4190.t1, bc2001_g1531.t1	bc2002_g5493.t1		
N3.HOG0008100	OG0006821	n1		bc2001_g15184.t1	bc2002_g18911.t1		
N3.HOG0008101	OG0006821	n2		bc2001_g1542.t1	bc2002_g15251.t1		
N3.HOG0008102	OG0006822	n0		bc2001_g5160.t1, bc2001_g1571.t1, bc2001_g16806.t1	bc2002_g3475.t1		
N3.HOG0008103	OG0006823	n0		bc2001_g1602.t1	bc2002_g16493.t1, bc2002_g7616.t1, bc2002_g15311.t1		
N3.HOG0008104	OG0006824	n1		bc2001_g1610.t1	bc2002_g15320.t1		
N3.HOG0008105	OG0006824	n2		bc2001_g11037.t1	bc2002_g7610.t1		
N3.HOG0008106	OG0006825	n0		bc2001_g2437.t1, bc2001_g19671.t1, bc2001_g1613.t1	bc2002_g3075.t1		
N3.HOG0008107	OG0006826	n0		bc2001_g1663.t1, bc2001_g15717.t1, bc2001_g12592.t1	bc2002_g3133.t1		
N3.HOG0008108	OG0006827	n1		bc2001_g1669.t1	bc2002_g3139.t1		
N3.HOG0008109	OG0006827	n2		bc2001_g2544.t1	bc2002_g16567.t1		
N3.HOG0008110	OG0006828	n0		bc2001_g1709.t1	bc2002_g3189.t1		
N3.HOG0008111	OG0006829	n0		bc2001_g11785.t1, bc2001_g1719.t1, bc2001_g18129.t1	bc2002_g4334.t1		
N3.HOG0008112	OG0006830	n0		bc2001_g1741.t1			
N3.HOG0008113	OG0006831	n0		bc2001_g1771.t1	bc2002_g3958.t1		
N3.HOG0008114	OG0006832	n0		bc2001_g1773.t1	bc2002_g3960.t1		
N3.HOG0008115	OG0006833	n0		bc2001_g2652.t1, bc2001_g1782.t1, bc2001_g15234.t1	bc2002_g8113.t1		
N3.HOG0008116	OG0006834	n0		bc2001_g19380.t1, bc2001_g1799.t1	bc2002_g3984.t1, bc2002_g13396.t1		
N3.HOG0008117	OG0006835	n1		bc2001_g1883.t1	bc2002_g7321.t1		
N3.HOG0008118	OG0006835	n2		bc2001_g15716.t1	bc2002_g300.t1		
N3.HOG0008119	OG0006836	n0		bc2001_g1884.t1, bc2001_g5517.t1, bc2001_g16115.t1, bc2001_g16313.t2			
N3.HOG0008120	OG0006837	n0		bc2001_g8704.t1, bc2001_g15986.t1, bc2001_g1889.t1	bc2002_g17267.t1		
N3.HOG0008121	OG0006838	n1		bc2001_g1902.t1	bc2002_g7341.t1		
N3.HOG0008122	OG0006838	n2		bc2001_g2581.t1	bc2002_g14892.t1		
N3.HOG0008123	OG0006839	n0		bc2001_g1937.t1	bc2002_g7379.t1		
N3.HOG0008124	OG0006840	n0		bc2001_g1946.t1, bc2001_g1946.t2	bc2002_g7387.t1		
N3.HOG0008125	OG0006841	n0		bc2001_g1959.t1, bc2001_g1959.t2	bc2002_g7401.t1		
N3.HOG0008126	OG0006842	n0		bc2001_g1963.t1	bc2002_g7405.t1		
N3.HOG0008127	OG0006843	n1		bc2001_g2031.t2	bc2002_g8246.t2		
N3.HOG0008128	OG0006843	n2		bc2001_g2031.t1	bc2002_g8246.t1		
N3.HOG0008129	OG0006844	n0		bc2001_g2033.t1	bc2002_g8248.t1, bc2002_g8248.t2		
N3.HOG0008130	OG0006845	n0		bc2001_g2034.t1	bc2002_g8249.t1		
N3.HOG0008131	OG0006846	n0		bc2001_g2035.t1	bc2002_g8250.t1		
N3.HOG0008132	OG0006847	n0		bc2001_g2052.t1	bc2002_g5860.t1, bc2002_g8315.t1, bc2002_g8268.t1		
N3.HOG0008133	OG0006848	n1		bc2001_g10620.t1	bc2002_g15134.t1		
N3.HOG0008134	OG0006848	n2		bc2001_g2072.t1	bc2002_g8288.t1		
N3.HOG0008135	OG0006849	n0		bc2001_g3695.t1, bc2001_g2074.t1, bc2001_g15434.t1	bc2002_g10374.t1		
N3.HOG0008136	OG0006850	n1		bc2001_g10623.t1	bc2002_g15131.t1		
N3.HOG0008137	OG0006850	n2		bc2001_g2075.t1	bc2002_g13866.t1		
N3.HOG0008138	OG0006851	n1		bc2001_g2097.t1	bc2002_g11342.t1		
N3.HOG0008139	OG0006851	n2		bc2001_g3908.t1	bc2002_g18090.t1		
N3.HOG0008140	OG0006852	n0		bc2001_g2112.t1	bc2002_g11361.t1, bc2002_g1494.t1, bc2002_g4328.t1		
N3.HOG0008141	OG0006853	n0		bc2001_g2134.t1, bc2001_g2134.t2, bc2001_g2134.t3	bc2002_g11384.t1		
N3.HOG0008142	OG0006854	n0		bc2001_g2143.t2, bc2001_g2143.t1	bc2002_g11392.t1		
N3.HOG0008143	OG0006855	n0		bc2001_g2150.t1	bc2002_g11398.t1		
N3.HOG0008144	OG0006856	n1		bc2001_g2166.t2	bc2002_g11414.t1		
N3.HOG0008145	OG0006856	n2		bc2001_g2166.t1	bc2002_g11414.t2		
N3.HOG0008146	OG0006857	n0		bc2001_g2171.t2, bc2001_g2171.t1	bc2002_g11420.t1		
N3.HOG0008147	OG0006858	n0		bc2001_g2172.t1	bc2002_g11421.t1		
N3.HOG0008148	OG0006859	n0		bc2001_g2173.t1	bc2002_g11422.t1		
N3.HOG0008149	OG0006860	n0		bc2001_g2197.t1	bc2002_g9568.t1		
N3.HOG0008150	OG0006861	n0		bc2001_g2198.t1	bc2002_g9567.t1		
N3.HOG0008151	OG0006862	n0		bc2001_g2214.t1, bc2001_g2214.t2	bc2002_g9550.t1		
N3.HOG0008152	OG0006863	n0		bc2001_g4832.t1, bc2001_g2237.t1	bc2002_g9525.t1, bc2002_g10783.t1		
N3.HOG0008153	OG0006864	n1		bc2001_g6680.t1	bc2002_g5598.t1		
N3.HOG0008154	OG0006864	n2		bc2001_g2256.t1	bc2002_g19983.t1		
N3.HOG0008155	OG0006865	n0		bc2001_g2260.t1	bc2002_g9502.t1, bc2002_g5580.t1, bc2002_g14696.t1		
N3.HOG0008156	OG0006866	n0		bc2001_g2283.t1	bc2002_g2126.t1		
N3.HOG0008157	OG0006867	n0		bc2001_g2288.t2, bc2001_g7695.t1, bc2001_g2288.t1	bc2002_g2131.t1		
N3.HOG0008158	OG0006868	n0		bc2001_g2293.t1, bc2001_g2293.t2	bc2002_g2137.t1		
N3.HOG0008159	OG0006869	n0		bc2001_g2294.t1	bc2002_g2138.t1		
N3.HOG0008160	OG0006870	n0		bc2001_g2318.t1, bc2001_g6905.t1, bc2001_g19396.t1	bc2002_g2827.t1		
N3.HOG0008161	OG0006871	n0		bc2001_g2325.t1, bc2001_g2325.t2	bc2002_g2174.t1		
N3.HOG0008162	OG0006872	n0		bc2001_g14031.t1, bc2001_g2344.t1, bc2001_g3287.t1	bc2002_g10943.t1		
N3.HOG0008163	OG0006873	n1		bc2001_g2387.t1	bc2002_g18140.t1		
N3.HOG0008164	OG0006873	n2		bc2001_g11494.t1	bc2002_g12586.t1		
N3.HOG0008165	OG0006874	n0		bc2001_g4004.t1, bc2001_g2395.t1	bc2002_g674.t1, bc2002_g2247.t1		
N3.HOG0008166	OG0006875	n0		bc2001_g2418.t1	bc2002_g2269.t1		
N3.HOG0008167	OG0006876	n0		bc2001_g2452.t1	bc2002_g5154.t1, bc2002_g1413.t1, bc2002_g15163.t1		
N3.HOG0008168	OG0006877	n0		bc2001_g2458.t1, bc2001_g17559.t1, bc2001_g11530.t1	bc2002_g15014.t1		
N3.HOG0008169	OG0006878	n0		bc2001_g2481.t2, bc2001_g2481.t1	bc2002_g14992.t1		
N3.HOG0008170	OG0006879	n0		bc2001_g2500.t1	bc2002_g14973.t1		
N3.HOG0008171	OG0006880	n0		bc2001_g2501.t1	bc2002_g14972.t1		
N3.HOG0008172	OG0006881	n0		bc2001_g2558.t1, bc2001_g2558.t2	bc2002_g14913.t1		
N3.HOG0008173	OG0006882	n0		bc2001_g2615.t1, bc2001_g4614.t1, bc2001_g4592.t1	bc2002_g14859.t1		
N3.HOG0008174	OG0006883	n0		bc2001_g14760.t1, bc2001_g2640.t1, bc2001_g17453.t1	bc2002_g9623.t1		
N3.HOG0008175	OG0006884	n0		bc2001_g2667.t1, bc2001_g2997.t1, bc2001_g15812.t1	bc2002_g14804.t1		
N3.HOG0008176	OG0006885	n0		bc2001_g2668.t1, bc2001_g9196.t1, bc2001_g15686.t2	bc2002_g14803.t1		
N3.HOG0008177	OG0006886	n0		bc2001_g2680.t1	bc2002_g14790.t1		
N3.HOG0008178	OG0006887	n0		bc2001_g2685.t1, bc2001_g18565.t1	bc2002_g19821.t1, bc2002_g18834.t1		
N3.HOG0008179	OG0006888	n1		bc2001_g2701.t1	bc2002_g18849.t1		
N3.HOG0008180	OG0006888	n2		bc2001_g15619.t1	bc2002_g17875.t1		
N3.HOG0008181	OG0006889	n0		bc2001_g2716.t1	bc2002_g18864.t1		
N3.HOG0008182	OG0006890	n0		bc2001_g2718.t1	bc2002_g18866.t1		
N3.HOG0008183	OG0006891	n0		bc2001_g2722.t2, bc2001_g2722.t1	bc2002_g18870.t1		
N3.HOG0008184	OG0006892	n0		bc2001_g5642.t1, bc2001_g17814.t1, bc2001_g2726.t1, bc2001_g3256.t1			
N3.HOG0008185	OG0006893	n0		bc2001_g18736.t1, bc2001_g17043.t1, bc2001_g2734.t1, bc2001_g13121.t1			
N3.HOG0008186	OG0006894	n0		bc2001_g2737.t1	bc2002_g18881.t1		
N3.HOG0008187	OG0006895	n0		bc2001_g2741.t1	bc2002_g18884.t1		
N3.HOG0008188	OG0006896	n0		bc2001_g2777.t1	bc2002_g4459.t1, bc2002_g12946.t1, bc2002_g1412.t1		
N3.HOG0008189	OG0006897	n0		bc2001_g2779.t1, bc2001_g2779.t2, bc2001_g4132.t1	bc2002_g17981.t1		
N3.HOG0008190	OG0006898	n1		bc2001_g4130.t1	bc2002_g17980.t1		
N3.HOG0008191	OG0006898	n2		bc2001_g2781.t1	bc2002_g4464.t1		
N3.HOG0008192	OG0006899	n1		bc2001_g2782.t1	bc2002_g4465.t1		
N3.HOG0008193	OG0006899	n2		bc2001_g3511.t1	bc2002_g15250.t1		
N3.HOG0008194	OG0006900	n0		bc2001_g8063.t1, bc2001_g2787.t1, bc2001_g17567.t1, bc2001_g18012.t1			
N3.HOG0008195	OG0006901	n1		bc2001_g14500.t1	bc2002_g19888.t1		
N3.HOG0008196	OG0006901	n2		bc2001_g2789.t1	bc2002_g1561.t1		
N3.HOG0008197	OG0006902	n0		bc2001_g2804.t2, bc2001_g2804.t1	bc2002_g11446.t2, bc2002_g11446.t1		
N3.HOG0008198	OG0006903	n0		bc2001_g2807.t1	bc2002_g11449.t1		
N3.HOG0008199	OG0006904	n0		bc2001_g2809.t1	bc2002_g11451.t1		
N3.HOG0008200	OG0006905	n0		bc2001_g2814.t1	bc2002_g11456.t1, bc2002_g18590.t1, bc2002_g19280.t1		
N3.HOG0008201	OG0006906	n0		bc2001_g2822.t1	bc2002_g11465.t1		
N3.HOG0008202	OG0006907	n1		bc2001_g2914.t1	bc2002_g11565.t1		
N3.HOG0008203	OG0006907	n2		bc2001_g2825.t1	bc2002_g11468.t1		
N3.HOG0008204	OG0006908	n0		bc2001_g2859.t1	bc2002_g11506.t1		
N3.HOG0008205	OG0006909	n0		bc2001_g2864.t1	bc2002_g11511.t1		
N3.HOG0008206	OG0006910	n0		bc2001_g2869.t1, bc2001_g3280.t1, bc2001_g3179.t1	bc2002_g11517.t1		
N3.HOG0008207	OG0006911	n1		bc2001_g17765.t1	bc2002_g486.t1		
N3.HOG0008208	OG0006911	n2		bc2001_g2888.t1	bc2002_g11539.t1		
N3.HOG0008209	OG0006912	n1		bc2001_g2890.t1	bc2002_g11541.t1		
N3.HOG0008210	OG0006912	n2		bc2001_g17767.t1	bc2002_g484.t1		
N3.HOG0008211	OG0006913	n1		bc2001_g17768.t1	bc2002_g11542.t1		
N3.HOG0008212	OG0006913	n2		bc2001_g2891.t1	bc2002_g483.t1		
N3.HOG0008213	OG0006914	n0		bc2001_g2899.t1, bc2001_g5891.t1	bc2002_g11551.t1, bc2002_g1057.t1		
N3.HOG0008214	OG0006915	n1		bc2001_g5197.t1	bc2002_g3436.t1		
N3.HOG0008215	OG0006915	n2		bc2001_g2901.t1	bc2002_g11553.t1		
N3.HOG0008216	OG0006916	n0		bc2001_g10260.t1, bc2001_g2922.t1	bc2002_g16773.t1, bc2002_g11572.t1		
N3.HOG0008217	OG0006917	n1		bc2001_g2924.t1	bc2002_g11574.t1		
N3.HOG0008218	OG0006917	n2		bc2001_g10263.t1	bc2002_g16770.t1		
N3.HOG0008219	OG0006918	n1		bc2001_g12608.t1	bc2002_g6031.t1		
N3.HOG0008220	OG0006918	n2		bc2001_g2962.t1	bc2002_g11610.t1		
N3.HOG0008221	OG0006919	n1		bc2001_g2963.t1	bc2002_g11611.t1		
N3.HOG0008222	OG0006919	n2		bc2001_g12607.t1	bc2002_g6030.t1		
N3.HOG0008223	OG0006920	n1		bc2001_g12604.t1	bc2002_g6027.t1		
N3.HOG0008224	OG0006920	n2		bc2001_g2966.t1	bc2002_g11614.t1		
N3.HOG0008225	OG0006921	n0		bc2001_g2989.t1	bc2002_g11842.t1		
N3.HOG0008226	OG0006922	n0		bc2001_g2990.t2, bc2001_g2990.t1	bc2002_g11841.t1		
N3.HOG0008227	OG0006923	n1		bc2001_g10406.t1	bc2002_g7524.t1		
N3.HOG0008228	OG0006923	n2		bc2001_g3000.t1	bc2002_g11831.t1		
N3.HOG0008229	OG0006924	n0		bc2001_g3005.t1, bc2001_g3005.t2	bc2002_g11826.t1		
N3.HOG0008230	OG0006925	n0		bc2001_g3009.t1	bc2002_g11822.t1		
N3.HOG0008231	OG0006926	n0		bc2001_g3017.t1	bc2002_g11814.t1		
N3.HOG0008232	OG0006927	n1		bc2001_g3042.t1	bc2002_g8678.t1		
N3.HOG0008233	OG0006927	n2		bc2001_g9787.t1	bc2002_g11859.t1		
N3.HOG0008234	OG0006928	n1		bc2001_g9792.t1	bc2002_g13280.t1		
N3.HOG0008235	OG0006928	n2		bc2001_g3044.t1	bc2002_g11788.t1		
N3.HOG0008236	OG0006929	n0		bc2001_g3051.t1	bc2002_g11782.t1		
N3.HOG0008237	OG0006930	n1		bc2001_g16509.t1	bc2002_g17695.t1		
N3.HOG0008238	OG0006930	n2		bc2001_g3125.t1	bc2002_g5905.t1		
N3.HOG0008239	OG0006931	n1		bc2001_g3126.t1	bc2002_g5904.t1		
N3.HOG0008240	OG0006931	n2		bc2001_g9393.t1	bc2002_g2353.t1		
N3.HOG0008241	OG0006932	n0		bc2001_g3622.t1, bc2001_g3146.t1, bc2001_g3139.t1	bc2002_g6144.t1		
N3.HOG0008242	OG0006933	n0		bc2001_g16390.t1, bc2001_g3615.t1, bc2001_g3145.t1	bc2002_g3065.t1		
N3.HOG0008243	OG0006934	n0		bc2001_g3147.t1, bc2001_g8190.t1, bc2001_g9304.t1	bc2002_g18504.t1		
N3.HOG0008244	OG0006935	n0		bc2001_g14603.t1, bc2001_g3154.t1, bc2001_g16114.t1	bc2002_g15232.t1		
N3.HOG0008245	OG0006936	n0		bc2001_g16123.t1, bc2001_g3158.t1, bc2001_g14615.t1	bc2002_g15243.t1		
N3.HOG0008246	OG0006937	n0		bc2001_g3159.t1, bc2001_g14616.t1, bc2001_g16124.t1	bc2002_g15244.t1		
N3.HOG0008247	OG0006938	n0		bc2001_g3161.t1, bc2001_g16126.t1, bc2001_g14618.t1	bc2002_g15246.t1		
N3.HOG0008248	OG0006939	n0		bc2001_g3165.t1, bc2001_g6576.t1	bc2002_g4960.t1, bc2002_g8710.t1		
N3.HOG0008249	OG0006940	n0		bc2001_g12677.t1, bc2001_g16799.t1, bc2001_g3177.t1	bc2002_g5068.t1		
N3.HOG0008250	OG0006941	n1		bc2001_g19589.t1	bc2002_g2043.t1		
N3.HOG0008251	OG0006941	n2		bc2001_g3205.t1	bc2002_g3718.t1		
N3.HOG0008252	OG0006942	n1		bc2001_g3258.t1	bc2002_g7153.t1		
N3.HOG0008253	OG0006942	n2		bc2001_g3258.t2	bc2002_g7153.t2		
N3.HOG0008254	OG0006943	n0		bc2001_g3286.t1	bc2002_g7537.t1, bc2002_g14512.t1, bc2002_g7122.t1		
N3.HOG0008255	OG0006944	n0		bc2001_g4003.t1, bc2001_g4003.t2, bc2001_g3298.t1	bc2002_g18053.t1		
N3.HOG0008256	OG0006945	n0		bc2001_g3302.t1	bc2002_g18049.t1		
N3.HOG0008257	OG0006946	n0		bc2001_g3313.t1	bc2002_g18038.t1		
N3.HOG0008258	OG0006947	n0		bc2001_g3334.t1, bc2001_g15489.t1, bc2001_g17586.t1	bc2002_g16415.t1		
N3.HOG0008259	OG0006948	n0		bc2001_g6262.t1, bc2001_g16375.t1, bc2001_g3356.t1, bc2001_g16102.t1			
N3.HOG0008260	OG0006949	n1		bc2001_g3388.t1	bc2002_g12725.t1		
N3.HOG0008261	OG0006949	n2		bc2001_g15078.t1	bc2002_g19015.t1		
N3.HOG0008262	OG0006950	n0		bc2001_g3430.t2, bc2001_g3444.t2	bc2002_g15671.t1, bc2002_g15686.t1		
N3.HOG0008263	OG0006951	n0		bc2001_g9948.t1, bc2001_g3477.t1, bc2001_g18313.t1	bc2002_g16010.t1		
N3.HOG0008264	OG0006952	n0		bc2001_g3491.t1, bc2001_g3491.t2			
N3.HOG0008265	OG0006953	n0		bc2001_g3503.t1			
N3.HOG0008266	OG0006954	n0		bc2001_g5744.t1, bc2001_g3512.t1, bc2001_g3512.t2	bc2002_g700.t1		
N3.HOG0008267	OG0006955	n0		bc2001_g11961.t1, bc2001_g19428.t1, bc2001_g3521.t1	bc2002_g2786.t1		
N3.HOG0008268	OG0006956	n0		bc2001_g3535.t1, bc2001_g4633.t1	bc2002_g7252.t1		
N3.HOG0008269	OG0006957	n0		bc2001_g3576.t1	bc2002_g9900.t2, bc2002_g9900.t3, bc2002_g9900.t1		
N3.HOG0008270	OG0006958	n0		bc2001_g3582.t1	bc2002_g9894.t1		
N3.HOG0008271	OG0006959	n1		bc2001_g3589.t1	bc2002_g9886.t1		
N3.HOG0008272	OG0006959	n2		bc2001_g10366.t1	bc2002_g7479.t1		
N3.HOG0008273	OG0006960	n1		bc2001_g3594.t2	bc2002_g9881.t1		
N3.HOG0008274	OG0006960	n2		bc2001_g3594.t1	bc2002_g9881.t2		
N3.HOG0008275	OG0006961	n1		bc2001_g3596.t2	bc2002_g8914.t1		
