Geneid,Chr,Start,End,Strand,Length,mapped_to_Icas2
g9070,contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361,177635;178151;178550;178911;179093;179309;179536;179702;180074;180304;180560;180791;181047;181506;181897;182711;182961;183399;183717;184054;184251;184480;184737;184933;185096;185319;185558;186022;186613;186790,177806;178455;178819;178985;179218;179419;179594;179982;180227;180477;180659;180930;181420;181832;182619;182866;183321;183564;183918;184163;184380;184625;184845;185007;185228;185480;185947;186546;186713;186839,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,6207,22218
g9071,contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361,186880;187525;187718;187941;188107;188332;188463;188686;188926;189105;189430;189581;189917;190245;190473;190787;190988;191175;191546,187408;187649;187841;188011;188256;188398;188594;188721;189022;189290;189505;189848;190164;190368;190662;190889;191098;191313;191580,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,2811,7070
g9072,contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361,191781;192030;192237;192404;192747;192961;193132;193294;193491;193844,191954;192140;192326;192645;192870;193038;193208;193383;193729;194010,+;+;+;+;+;+;+;+;+;+,1392,15573
g9073,contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361,194201;194437;194626;194804;195045;195248;195417;195561;195776;195962;196212,194332;194519;194722;194961;195120;195340;195494;195680;195856;196022;196291,-;-;-;-;-;-;-;-;-;-;-,1059,48176
g9074,contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361,196436;196642;197561;197858;198017;198201;198364;198605;198835,196555;197458;197754;197910;198119;198302;198483;198748;198933,+;+;+;+;+;+;+;+;+,1752,12624
g9075,contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361,199297;199701;199937;200099;200369;200544;200747;200934;201115;201272;201442;201745,199620;199850;200032;200256;200463;200660;200867;201011;201164;201352;201581;201798,-;-;-;-;-;-;-;-;-;-;-;-,1464,10613
g9076,contig_361;contig_361;contig_361;contig_361;contig_361;contig_361;contig_361,202203;202438;202910;203161;203356;203619;203761,202308;202590;203056;203272;203534;203665;203864,+;+;+;+;+;+;+,848,4070
g9077,contig_367;contig_367;contig_367,49;314;497,136;435;526,+;+;+,240,0
g9078,contig_367;contig_367;contig_367,578;785;1836,726;1753;2316,-;-;-,1599,0
g9079,contig_367,2545,2907,+,363,0
g9080,contig_367,3488,4351,-,864,0
g9081,contig_367,4564,5064,-,501,0
g9082,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,5209;5343;6046;6570;7141;7511,5220;5482;6464;6704;7439;7582,+;+;+;+;+;+,1077,0
g9083,contig_367;contig_367;contig_367;contig_367;contig_367,7732;8078;8283;8481;8833,7907;8209;8396;8691;8928,-;-;-;-;-,729,0
g9084,contig_367;contig_367;contig_367;contig_367,10005;10728;11097;11337,10054;10924;11169;11460,+;+;+;+,444,1
g9085,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,12349;12612;13002;13406;13583;14825;14942;15100,12398;12899;13256;13453;14711;14834;15031;15107,-;-;-;-;-;-;-;-,1878,2099
g9086,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,15177;15334;15426;15604;15813;16049;16244,15272;15353;15533;15710;15920;16156;16341,+;+;+;+;+;+;+,645,5873
g9087,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,16422;16546;17043;17047;17395;17395;17645;17645;17850;17850;18110;18110,16438;16598;17251;17251;17578;17578;17742;17742;17924;17924;18155;18155,-;-;-;-;-;-;-;-;-;-;-;-,682,12244
g9088,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,18273;18464;18633;18768;18913;19208;19407;19599,18372;18550;18679;18837;18946;19307;19522;19878,+;+;+;+;+;+;+;+,834,2182
g9089,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,19943;20083;20222;20409;20617;20803;21143;21341;21668,20008;20154;20336;20530;20707;20996;21256;21586;21709,+;+;+;+;+;+;+;+;+,1062,1605
g9090,contig_367;contig_367;contig_367;contig_367,21981;22237;22565;22899,22023;22445;22791;23157,-;-;-;-,738,580
g9091,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,23480;23966;24509;25028;25226;25370;25581;25957,23894;24104;24891;25075;25274;25470;25868;25976,+;+;+;+;+;+;+;+,1443,3825
g9092,contig_367;contig_367;contig_367,26868;27106;27335,26969;27261;27532,+;+;+,456,3
g9093,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,28835;28835;29031;29031;29188;29188;29344;29344;29558;29558;29674;29674;29866;29866;30136;30136;30264;30264;30458;30458;30665;30665;30917;30917;31099;31099;32425;32425;32697;32697;33128;33128,28966;28966;29112;29112;29271;29271;29489;29489;29600;29600;29800;29800;30065;30065;30173;30200;30371;30371;30588;30588;30760;30760;31031;31031;32366;32366;32622;32622;32981;32981;33188;33188,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3141,6312
g9094,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,33259;33349;33469;33469;33740;33740,33392;33392;33664;33664;33949;33949,+;+;+;+;+;+,540,1743
g9095,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,34039;34263;34441;34576;34778;34954;35183,34190;34352;34503;34708;34883;35047;35228,-;-;-;-;-;-;-,684,33388
g9096,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,35617;35772;35941;36188;36457;36724;36910;37147;37360;37570;37803;38050;38325;39166,35696;35871;36118;36361;36638;36831;37053;37269;37477;37738;37960;38247;39094;39336,+;+;+;+;+;+;+;+;+;+;+;+;+;+,2673,11073
g9097,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,39495;39748;39905;40072;40678;40870;41086;41301;41593;41789;42031;42284;42490;42691;43041,39641;39825;39983;40575;40749;40995;41193;41489;41684;41889;42182;42337;42605;42777;43106,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,1971,29071
g9098,contig_367;contig_367,43197;43580,43459;43658,-;-,342,9743
g9099,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,43872;44204;44373;44535;44850;45435;45691;45916;46213;46428;46890,43970;44285;44438;44658;45110;45540;45781;46058;46272;46712;47063,-;-;-;-;-;-;-;-;-;-;-,1491,64289
g9100,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,47222;47447;47747;47989;48320;48517;48763,47380;47653;47881;48198;48392;48667;48898,+;+;+;+;+;+;+,1071,4974
g9101,contig_367;contig_367,49041;49351,49150;49459,-;-,219,518
g9102,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,49888;50157;50467;50709;50979;51317;51487;51954;52382;52660;53046;53392,49891;50301;50558;50785;51090;51366;51580;52054;52558;52830;53148;53471,+;+;+;+;+;+;+;+;+;+;+;+,1206,11739
g9103,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,53750;53861;54209;54543;54803;55095,53799;54040;54389;54620;54976;55109,-;-;-;-;-;-,678,1173
g9104,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,55479;55842;56111;56274;56501;57402;57635;57855;58074,55774;56007;56184;56438;57114;57520;57751;58001;58628,-;-;-;-;-;-;-;-;-,2253,5000
g9105,contig_367;contig_367;contig_367,58738;58926;59058,58847;58974;59192,+;+;+,294,630
g9106,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,59211;59588;59795;59979;60203;60422;60748,59444;59656;59885;60121;60306;60652;60943,-;-;-;-;-;-;-,1068,10135
g9107,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,61137;61391;61585;61851;62130;62357;62606;62931;63328;63518;63689;63868;64037;64220;64435,61296;61468;61721;62038;62272;62490;62839;63221;63429;63608;63763;63934;64097;64342;64713,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2163,5045
g9108,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,64793;65103;65528;65810;66210;66578;66727;66883;67150,65029;65345;65675;66118;66499;66650;66806;67047;67410,+;+;+;+;+;+;+;+;+,1806,10872
g9109,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,67437;67597;67883;68050;68302;68441;68583;68739;68947;69150;69281;69480;69718;69941;70263;70472;70706;71000;71195;71456,67519;67820;67967;68206;68372;68510;68662;68842;69079;69210;69370;69582;69829;70094;70364;70586;70860;71120;71324;71558,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,2253,10314
g9110,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,71725;71944;72120;72385;72640;72751;72879,71824;72018;72286;72508;72673;72797;73321,+;+;+;+;+;+;+,990,5995
g9111,contig_367;contig_367;contig_367;contig_367,73438;73579;73822;73965,73509;73733;73900;74039,-;-;-;-,381,4147
g9112,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,74411;74589;74842;75036;75228;75507;75769;76013;76210;76432;76679;76872,74499;74761;74978;75141;75402;75633;75938;76115;76360;76583;76782;77064,+;+;+;+;+;+;+;+;+;+;+;+,1680,7077
g9113,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,77103;77565;77770;78031;78252;78596;78665;78798;78944;79091;79324;79772;79878,77453;77682;77951;78160;78509;78609;78710;78869;79024;79212;79688;79811;80111,-;-;-;-;-;-;-;-;-;-;-;-;-,2013,5926
g9114,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,80150;80326;80363;80834;80834;81047;81047;81276;81276;81433;81433;81749;81749;81881;81881,80247;80575;80575;80959;80959;81168;81168;81346;81346;81651;81651;81811;81811;81972;81972,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1041,8592
g9115,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,82140;82373;82581;83000;83280;83473;83664;83869;84041;84278;84521;84768;85000;85160;85335;85713;85972;87094;87293;87762;88275;88686;88882;89074;89293;89549;89753;90019;90165;90289;90528;90741;90912;91054;91222;91414;91548;91706;91946,82226;82471;82749;83136;83407;83570;83799;83956;84153;84382;84704;84866;85085;85180;85439;85864;86961;87181;87646;88201;88536;88795;88983;89215;89468;89667;89927;90100;90221;90445;90626;90830;90986;91143;91314;91455;91629;91844;92054,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,5880,42142
g9116,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,92356;92560;92713;92713;92802;92802;92988;92988;93120;93120;93324;93324;93627;93627,92600;92600;92734;92734;92874;92874;93029;93029;93250;93250;93476;93476;93842;93842,+;+;+;+;+;+;+;+;+;+;+;+;+;+,882,4347
g9117,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,94011;94207;94393;94652;94915;95227;95497;95711;95881;96707;96911;97097,94090;94318;94500;94829;95155;95357;95612;95782;96027;96821;97001;97355,+;+;+;+;+;+;+;+;+;+;+;+,1650,25280
g9118,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,97696;97696;97696;97979;97979;97979;98111;98129;98138;98295;98295;98295;98553;98553;98553;98724;98724;98724,97868;97868;97868;98010;98010;98010;98217;98217;98217;98446;98446;98446;98642;98642;98642;99282;99282;99282,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1113,6672
g9119,contig_367,99590,100288,+,699,1870
g9120,contig_367;contig_367;contig_367,100436;100436;102178,102092;104062;102227,+;+;+,3627,124
g9121,contig_367;contig_367;contig_367,104381;105015;105740,104922;105626;106112,-;-;-,1527,0
g9122,contig_367;contig_367,106237;107334,107221;107761,+;+,1413,0
g9123,contig_367,107812,109536,-,1725,0
g9124,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,109585;109706;111127;111836;112033;112665;113128;113439;113668,109620;110558;111699;111883;112275;112952;113315;113594;113994,+;+;+;+;+;+;+;+;+,2712,3069
g9125,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,114936;115069;115425;115661;116010;116251,114950;115242;115502;115892;116189;116300,+;+;+;+;+;+,729,106
g9126,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,116579;116902;117220;117492;118002;118482;118696;118972;119278;119501;119756;119757;120036;120036,116658;117004;117390;117668;118102;118575;118745;119083;119354;119592;119901;119901;120192;120039,-;-;-;-;-;-;-;-;-;-;-;-;-;-,1360,2560
g9127,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,120466;120763;121130;121358;121672;121840;122127;122140;122330;122330;122721;122721;122951;122951,120574;121021;121244;121519;121722;121967;122210;122210;122626;122626;122841;122841;123049;123049,+;+;+;+;+;+;+;+;+;+;+;+;+;+,1425,4334
g9128,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,123823;123980;124149;124337;124585;124794;125184;125607;125885,123896;124054;124259;124502;124716;125084;125317;125789;125948,-;-;-;-;-;-;-;-;-,1230,2785
g9129,contig_367;contig_367;contig_367;contig_367,126054;126266;126492;126724,126179;126409;126625;126742,-;-;-;-,423,266
g9130,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,126947;127164;127357;127561;127914;128158;128422,127077;127290;127400;127778;128037;128233;128466,-;-;-;-;-;-;-,765,8289
g9131,contig_367;contig_367,128577;128823,128655;129064,+;+,321,1225
g9132,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,129305;129305;129305;129669;129669;129669;129787;129787;129893;129893;130236;130236;130236;130385;130385;130385;130537;130537;130537;130895;130895;130895;131148;131148;131148;131378;131378;131378;131599;131599;131599;131821;131821;131821;132087;132087;132087;132353;132353;132353;132665;132665;132665;132833;132833;132833,129417;129417;129417;130102;129689;129689;129803;129803;130102;130102;130303;130303;130303;130453;130453;130453;130683;130683;130683;130992;130992;130992;131265;131265;131265;131455;131455;131449;131706;131706;131706;131949;131949;131949;132237;132237;132237;132464;132464;132464;132742;132742;132742;133112;133112;133112,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1983,13444
g9133,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,133264;133608;133638;133797;133797;134034;134034;134249;134249;134465;134465;134658;134658;134866;134866;135082;135082;135375;135375;135606;135606;136049;136049,133410;133712;133712;133926;133926;134123;134123;134374;134374;134566;134566;134752;134752;134935;134935;135282;135282;135472;135472;135831;135831;136332;136332,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1674,3645
g9134,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,136542;137273;137698;138024;138298;138613;138855;139084;139304;139496,136665;137606;137869;138214;138504;138754;138984;139197;139416;140668,+;+;+;+;+;+;+;+;+;+,2700,196660
g9135,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,141215;141215;141526;141526;141674;141674;141792;141792;142075;142075;142497;142497;142841;142841;143053;143053;143438;143438;143625;143625;143980;143980;144428;144428;144805;144805;145009;145009;145238;145238;145463;145463;145671;145671;145935;145935;146090;146093;146656;146656,141452;141452;141607;141607;141718;141718;141954;141954;142410;142410;142589;142589;142964;142964;143292;143292;143515;143515;143849;143849;144308;144308;144688;144688;144903;144903;145131;145131;145358;145358;145586;145586;145848;145848;146011;146011;146591;146591;147246;147246,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,4029,24182
g9136,contig_367;contig_367,147740;148291,148204;148467,-;-,642,0
g9137,contig_367;contig_367;contig_367;contig_367;contig_367,148848;149002;149580;150159;150502,148942;149382;150023;150354;150723,-;-;-;-;-,1338,0
g9138,contig_367,151391,152014,+,624,0
g9139,contig_367,152871,154661,+,1791,0
g9140,contig_367,154667,155485,-,819,0
g9141,contig_367;contig_367;contig_367;contig_367,158029;158203;159637;160196,158129;159399;160108;160687,-;-;-;-,2262,0
g9142,contig_367;contig_367,160896;161242,160979;163044,+;+,1887,0
g9143,contig_367;contig_367;contig_367,163116;163643;164051,163537;163948;165101,-;-;-,1779,0
g9144,contig_367;contig_367;contig_367;contig_367,167465;168431;169115;169355,168355;168474;169293;169554,+;+;+;+,1314,0
g9145,contig_367,172047,172400,+,354,0
g9146,contig_367;contig_367;contig_367,172638;172951;173138,172841;172971;173287,-;-;-,375,0
g9147,contig_367;contig_367,173346;174169,174082;174706,+;+,1275,0
g9148,contig_367;contig_367;contig_367,175513;177098;178297,176560;178053;178449,+;+;+,2157,339
g9149,contig_367;contig_367;contig_367,178614;178757;179123,178677;179037;179629,+;+;+,852,1514
g9150,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,179823;180276;181051;181722;181885;182418;182615;182798;183014;183178;183436;183684;183950;184174;184438;184895;185096;185470,180083;180969;181608;181824;182339;182507;182693;182924;183074;183336;183603;183841;184072;184318;184752;185011;185376;185535,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3960,11306
g9151,contig_367;contig_367;contig_367;contig_367;contig_367,186002;186024;186160;186683;186683,186592;186085;186592;188128;188128,-;-;-;-;-,2037,43900
g9152,contig_367;contig_367;contig_367;contig_367;contig_367,188270;188806;189209;189711;190048,188529;189008;189548;189917;190054,+;+;+;+;+,1017,10343
g9153,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,190372;190372;190694;190694;190921;190921;191112;191112;191315;191315;191606;191606;191778;191989;191989;192144;192144;192310;192310;192467;192642;192740;192769;193062;193235;193235;193412;193412;193767;193767;194046;194046;194265;194265;194524;194524;194757;194757;194916;194916;195118;195118,190573;190573;190734;190734;191004;191004;191197;191197;191469;191469;191914;191702;191914;192076;192076;192213;192213;192345;192386;192477;192678;193162;192986;193162;193330;193330;193657;193657;193964;193964;194168;194168;194448;194448;194680;194680;194847;194847;195046;195046;195328;195328,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3020,9571
g9154,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,195573;195785;196088;196301;196580;196727;196948;197113,195632;195894;196171;196445;196632;196845;196997;197244,-;-;-;-;-;-;-;-,753,15481
g9155,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,197588;197588;197717;197717;198066;198066;198274;198274;198533;198533;198860;198860;199304;199304;199570;199570;199874;199874;200023;200023;200275;200275;200558;200558;200788;200788;201170;201170;201792;201795;202052;202052;202360;202360;202628;202628;202985;202985;203293;203293;203452;203452,197642;197642;197987;197987;198132;198132;198333;198333;198761;198761;199179;199179;199455;199455;199754;199754;199949;199949;200165;200165;200497;200497;200722;200722;201064;201064;201693;201693;201933;201933;202235;202235;202554;202554;202851;202851;203227;203227;203386;203386;203531;203531,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3909,10591
g9156,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,203626;203983;204499;204750;204909;205152;205371;205635,203892;204390;204628;204834;205058;205301;205562;205662,+;+;+;+;+;+;+;+,1410,3114
g9157,contig_367,207671,211381,+,3711,0
g9158,contig_367;contig_367;contig_367;contig_367,211410;211771;212379;213135,211606;212291;212979;213372,-;-;-;-,1557,0
g9159,contig_367;contig_367,213623;214720,214609;215133,+;+,1401,0
g9160,contig_367,215170,216891,-,1722,0
g9161,contig_367,217052,218053,+,1002,0
g9162,contig_367,218080,218421,-,342,0
g9163,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,220395;220694;220815;221094;221253;221413,220578;220707;221002;221136;221339;221433,-;-;-;-;-;-,537,1608
g9164,contig_367;contig_367;contig_367;contig_367,221864;221997;222261;222501,221885;222081;222372;222623,-;-;-;-,342,2483
g9165,contig_367,223851,225653,-,1803,0
g9166,contig_367,225684,226091,-,408,0
g9167,contig_367;contig_367,226137;226599,226497;226993,+;+,756,0
g9168,contig_367,227053,230898,-,3846,0
g9169,contig_367,230976,231410,-,435,0
g9170,contig_367;contig_367;contig_367;contig_367;contig_367,231562;232259;233066;233342;234146,231826;232926;233139;234050;235105,-;-;-;-;-,2676,0
g9171,contig_367;contig_367;contig_367;contig_367;contig_367,235153;235670;236013;236672;237126,235570;235855;236321;237030;237185,+;+;+;+;+,1332,0
g9172,contig_367,237371,238177,+,807,0
g9173,contig_367,238200,238424,-,225,0
g9174,contig_367;contig_367;contig_367;contig_367,241842;242071;242275;242596,241997;242196;242523;242601,+;+;+;+,537,0
g9175,contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367;contig_367,243632;243632;243632;243800;243800;243800;243971;243971;243971;244142;244142;244142;244315;244315;244315;244488;244488;244488;244661;244661;244661;244834;244834;244834;245007;245007;245007;245180;245180;245180;245349;245349;245349;245518;245518;245695;245695;245695;245916;246053;246053;246053;246226;246226;246226;246399;246399;246399;246570;246570;246570;246743;246743;246743;246919;246919;246919;247251;247251;247251,243716;243716;243716;243883;243883;243883;244054;244054;244054;244225;244225;244225;244398;244398;244398;244571;244571;244571;244744;244744;244744;244917;244917;244917;245090;245090;245090;245263;245263;245263;245432;245432;245432;245601;245601;245778;245778;245778;245957;246136;246136;246136;246309;246309;246309;246482;246482;246482;246653;246653;246653;246820;246820;246820;247136;247136;247136;247346;247346;247346,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1863,2466
g9176,contig_367,247739,251566,+,3828,0
g9177,contig_367;contig_367,251595;252010,251929;252433,-;-,759,0
g9178,contig_367,252566,253300,-,735,0
g9179,contig_367,253665,253973,-,309,0
g9180,contig_367;contig_367,254026;255327,255210;255761,+;+,1620,0
g9181,contig_367,255787,257517,-,1731,0
g9182,contig_367,257680,258705,+,1026,0
g9183,contig_367,258731,259246,-,516,0
g9184,contig_367;contig_367,259716;259942,259805;260409,+;+,558,1232
g9185,contig_367,261576,262274,-,699,0
g9186,contig_367,262660,263001,+,342,0
g9187,contig_367;contig_367,263028;263673,263579;264029,-;-,909,0
g9188,contig_367,264190,265914,+,1725,0
g9189,contig_367;contig_367;contig_367,265952;266481;267013,266391;266950;267491,-;-;-,1389,0
g9190,contig_367;contig_367;contig_367,267742;268051;268823,267979;268735;269393,+;+;+,1494,0
g9191,contig_367,269684,271576,-,1893,4
g9192,contig_373;contig_373;contig_373;contig_373;contig_373;contig_373;contig_373,2134;2386;2622;2886;3112;3291;3615,2268;2547;2759;3026;3227;3375;3636,-;-;-;-;-;-;-,799,3684
